"A charge flow will be used to process the payment.","Ein Charge Flow wird zur Abwicklung der Zahlung verwendet."
"A manual decision about whether to accept the payment is required.","Eine Entscheidung wird benötigt, ob die Zahlung akzeptiert werden soll."
"Active","Aktiv"
"Adjustment","Korrektur"
"Allow customer's to download invoice documents.","Erlauben Sie Kunden, Rechnunungsdokumente herunterzuladen."
"Allow customer's to download packing slips.","Erlauben Sie Kunden, Lieferscheine herunterzuladen."
"Allow customer's to download refund documents.","Erlauben Sie Kunden, Rückerstattungsdokumente herunterzuladen."
"Are you sure you want to remove this token?","Soll dieser Token wirklich gelöscht werden?"
"As long as there is an open creditmemo for the order, no new creditmemo can be created.","Solange es eine offene Rechnungskorrektur für den Auftrag gibt, kann keine neue erstellt werden."
"Authentication Key","Authentication Key"
"Authorization Amount","Autorisierungsbetrag"
"Authorized","Autorisiert"
"Command %1 does not exist.","Befehl %1 existiert nicht."
"Completed","Abgeschlossen"
"Configuration ID required","Konfigurations-ID erforderlich"
"Confirmed","Bestätigt"
"Could not delete the payment method configuration: %1","Konnte die Zahlartenkonfiguration nicht löschen: %1"
"Could not delete the refund job: %1","Konnte den Rückerstattungsjob nicht löschen: %1"
"Could not delete the token info: %1","Konnte die Tokeninfo nicht löschen: %1"
"Could not delete the transaction info: %1","Konnte die Transaktionsinfo nicht löschen: %1"
"Could not distribute the rounding difference.","Die Rundungsdifferenz konnte nicht verteilt werden."
"Could not save the payment method configuration: %1","Konnte die Zahlartenkonfiguration nicht speichern: %1"
"Could not save the refund job: %1","Konnte den Rückerstattungsjob nicht speichern: %1"
"Could not save the token info: %1","Konnte die Tokeninfo nicht speichern: %1"
"Could not save the transaction info: %1","Konnte die Transaktionsinfo nicht speichern: %1"
"Custom Shipping Description","Eigene Versandbeschreibung"
"Customer Attributes","Kundenattribute"
"Customer Download: Invoice","Kunden-Download: Rechnung"
"Customer Download: Packing Slip","Kunden-Download: Lieferschein"
"Customer Download: Refund","Kunden-Download: Rückerstattung"
"Customer","Kunde"
"Decline","Ablehnen"
"Define the customer attributes that should be attached to the wallee transaction as meta data.","Definiert die Kundenattribute, die als Metadaten an die Transaktion in wallee angehängt werden sollen."
"Define the product attributes that should be appended to the line item attributes sent of the wallee transactions. They will be displayed in the line item list of emails and documents.","Definiert die Produktattribute, die an die Positionsattribute der Transaktionen in wallee angehängt werden soll. Sie werden in der Liste der Positionen in E-Mails und Dokumenten angezeigt."
"Description","Beschreibung"
"Discount","Rabatt"
"Document","Dokument"
"Download Invoice","Rechnung herunterladen"
"Download Packing Slip","Lieferschein herunterladen"
"Download Refund","Rückerstattung herunterladen"
"Email","E-Mail"
"Enabled","Aktiviert"
"Enforce Consistency","Konsistenz sicherstellen"
"External ID required","Externe ID erforderlich"
"Failed","Fehlgeschlagen"
"Failure Reason","Fehlerursache"
"For this order no refund request exists.","Zu dieser Bestellung existieren keine Rückerstattungen."
"Fulfill","Liefern"
"General","Allgemein"
"Gift Wrap","Geschenkverpackung"
"Hold Delivery","Lieferung halten"
"ID required","ID erforderlich"
"If you need help setting up the wallee extension, check out the <a href=""https://plugin-documentation.wallee.com/wallee-payment/magento-2.2/1.1.8/docs/en/documentation.html"" target=""_blank"">documentation</a>.","Falls Sie Hilfe benötigen beim Einrichten der wallee-Erweiterung, sehen Sie sich die <a href=""https://plugin-documentation.wallee.com/wallee-payment/magento-2.2/1.1.8/docs/en/documentation.html"" target=""_blank"">Dokumentation</a> an."
"Inactive","Inaktiv"
"Information","Informationen"
"Invoice","Rechnung"
"Line Items","Positionen"
"Listener %1 does not exist.","Listener %1 existiert nicht."
"Meta Data","Meta-Daten"
"Module Version","Modulversion"
"Only one invoice is allowed. To change the invoice, cancel the existing one first.","Nur eine Rechnung ist erlaubt. Um die Rechnung zu ändern, müssen Sie die vorhandene zuerst stornieren."
"Order ID required","Bestell-ID erforderlich"
"Overwrite Shipping Description","Versandbeschreibung überschreiben"
"Packing Slip","Lieferschein"
"Payment Method","Zahlart"
"Pending","Ausstehend"
"Place Order","Zahlungspflichtig bestellen"
"Processing","In Verarbeitung"
"Product Attributes","Produktattribute"
"Refund","Rückerstattung"
"Registered update about denied payment.","Update über abgelehnte Zahlungen registriert."
"Requested entity does not exist","Die angeforderte Entity existiert nicht."
"Require that the line items of the transaction correspond to those of the purchase order in Magento. This may result in the wallee payment methods not being available to the customer in certain cases. In return, it is ensured that only correct data is transmitted to wallee.","Erfordere, dass die Einzelposten der Transaktion denen der Bestellung in Magento entsprechen. Dies kann dazu führen, dass die Zahlungsmethoden von wallee dem Kunden in bestimmten Fällen nicht zur Verfügung stehen. Im Gegenzug wird sichergestellt, dass nur korrekte Daten an wallee übertragen werden."
"Send Order Email","Bestellungs-E-Mail senden"
"Send Refund Request","Rückerstattungs-E-Mail senden"
"Send the Magento store's order email.","Das Bestellungs-E-Mail des Magento-Shops senden."
"Show Description","Beschreibung anzeigen"
"Show Image","Bild anzeigen"
"Show the payment method's description on the checkout page.","Die Zahlartenbeschreibung im Checkout anzeigen."
"Show the payment method's image on the checkout page.","Das Logo der Zahlungsart im Checkout anzeigen."
"Sort Order","Sortierreihenfolge"
"Space ID required","Space-ID erforderlich"
"Space Id","Space-ID"
"Space View Id","Space View-ID"
"Successfully refunded.","Erfolgreich rückerstattet."
"Synchronizing with wallee failed: %1","Synchronisieren mit wallee schlug fehl: %1"
"The Application User needs to have full permissions in all spaces this shop is linked to.","Der Applikationsbenutzer benötigt volle Berechtigung in allen Spaces, mit denen dieser Shop verlinkt ist."
"The capture has been registered. The invoice will be created, as soon as the capture is done.","Der Capture wurde bereits angefordert, konnte aber noch nicht abgeschlossen werden. Die Rechnung wird aktualisiert, sobald der Capture abgeschlossen ist."
"The capture has been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done.","Der Capture wurde angefordert, konnte aber noch nicht abgeschlossen werden. Die Rechnung wird aktualisiert, sobald der Capture abgeschlossen ist."
"The capture of the invoice failed on the gateway: %1.","Der Capture konnte beim Gateway nicht abgeschlossen werden: %1"
"The credit memo has been created automatically.","Die Gutschrift wurde automatisch erstellt."
"The customer can be charged by using an existing token. If left empty, no token is used.","Der Kunde kann mit einem vorhandenen Token belastet werden. Wenn die Auswahl leer bleibt, wird kein Token verwendet."
"The description to set on the shipping line item.","Die Beschreibung, welche für die Versandposition gesetzt werden soll."
"The invoice cannot be cancelled as its capture has already been requested.","Die Rechnung kann nicht storniert werden, da die Verbuchung bereits angefordert wurde."
"The invoice cannot be cancelled.","Die Rechnung kann nicht storniert werden."
"The invoice cannot be created.","Die Rechnung kann nicht angelegt werden."
"The order can be fulfilled now.","Die Bestellung kann jetzt geliefert werden."
"The order failed because the payment timed out.","Die Bestellung ist fehlgeschlagen, weil die Zahlung abgelaufen ist."
"The order ID has been provided.","Die Auftrags-ID wurde angegeben."
"The order should not be fulfilled yet, as the payment is not guaranteed.","Die Bestellung sollte noch nicht geliefert werden, da die Zahlung nicht garantiert ist."
"The payment could not be processed. Please try again.","Die Zahlung konnte nicht bearbeitet werden. Bitte versuchen Sie es erneut."
"The payment process could not have been finished successfully.","Der Zahlungsprozess konnte nicht erfolgreich abgeschlossen werden."
"The payment timed out. Please reload the page and submit the order again.", "Die Zahlung erreichte eine Zeitüberschreitung. Bitte laden Sie die Seite neu und senden Sie die Bestellung erneut."
"The refund cannot be executed as the transaction's line items do not match the order's.","Die Rückerstattung kann nicht ausgeführt werden, da die Positionen der Transaktion nicht mit den Positionen der Bestellung übereinstimmen."
"The refund could not be found.","Die Rückerstattung konnte nicht gefunden werden."
"The refund of %1 failed on the gateway: %2","Die Rückerstattung von %1 schlug auf dem Gateway fehl: %2"
"The refund was requested successfully, but is still pending on the gateway.","Die Rückerstattung wurde erfolgreich angefordert, ist aber immer noch hängig beim Gateway."
"The Space View Id allows to control the styling of the payment form and the payment page. It allows in multistore setups to adapt the payment form to different styling per substore without requiring a dedicated space.","Mit der Space View-ID können Sie das Styling des Zahlungsformulars und der Bezahlseite steuern. In Multistore-Setups erlaubt dies das Anpassen des Bezahlformulars an die verschiedenen Styles der Substores, ohne mehrere Spaces erstellen zu müssen."
"The transaction invoice could not be found.","Die Transaktionsrechnung konnte nicht gefunden werden."
"The void of the payment failed on the gateway: %1","Die Stornierung ist beim Gateway fehlgeschlagen: %1"
"The wallee security token is invalid.","Das wallee Sicherheitstoken ist ungültig."
"The wallee security token needs to be set on the order to build the URL.","Das wallee Sicherheitstoken muss auf die Bestellung gesetzt werden, um die URL zu erstellen."
"There are <a href=""%1"" target=""_blank"">%2 manual tasks</a> that need your attention.","Es gibt <a href=""%1"" target=""_blank"">%2 manuelle Aufgaben</a>, die Ihre Aufmerksamkeit benötigen."
"There has been an error while sending the refund to the gateway.","Es gab einen Fehler beim Senden der Rückerstattung an das Gateway."
"There is a <a href=""%1"" target=""_blank"">manual task</a> that needs your attention.","Es gibt eine <a href=""%1"" target=""_blank"">manuelle Aufgabe</a>, die Ihre Aufmerksamkeit benötigt."
"There seems to have been a problem with your order. However, the payment was successful. Please contact us.","Es scheint ein Problem mit Ihrer Bestellung gegeben zu haben. Die Zahlung war jedoch erfolgreich. Bitte kontaktieren Sie uns."
"This order has a pending refund request.","Dieser Auftrag hat eine ausstehende Rückerstattungsanforderung."
"Title","Titel"
"To use this extension, a wallee account is required. Sign up on <a href=""https://www.wallee.com/"" target=""_blank"">https://www.wallee.com</a>.","Um diese Erweiterung nutzen zu können, wird ein wallee-Konto benötigt. Anmelden unter <a href=""https://www.wallee.com/"" target=""_blank"">https://www.wallee.com</a>."
"Token ID required","Token-ID erforderlich"
"Token:","Token:"
"Transaction ID required","Transaktions-ID erforderlich"
"Transaction ID: ""%1""","Transaktions-ID: ""%1"""
"Transaction State","Status der Transaktion"
"Transaction","Transaktion"
"Unknown State","Unbekannter Status"
"Use the custom description for the shipping line item.","Eigene Beschreibung der Versandposition verwenden."
"User Id","Benutzer-ID"
"View in wallee","In wallee ansehen"
"Voided","Annulliert"
"wallee Payment Methods","wallee Zahlarten"
"wallee Payment Tokens","wallee Tokens"
"wallee Payment","wallee Payment"
"wallee SDK Version","wallee SDK-Version"
"Failing authorization in store failed: %1.","Das Fehlschlagen der authorisation ist fehlgeschlagen: %1."
"The capture of the invoice failed in the store: %1.","Die Verbuchung konnte im Store nicht verarbeitet werden: %1."
"The associated authorization transaction for the payment could not be found.","Die verknüpfte authorisations-Transaktion konnte für die Zahlung nicht gefunden werden.."